split,decline_pct_target_from_validation,pd_cutoff_from_validation,score_cutoff_from_validation,rows,decline_rows,approve_rows,actual_decline_pct,bad_count,good_count,bad_rejected_count,good_rejected_count,decline_bad_rate,approve_bad_rate,decline_bad_capture,good_rejected_capture,decline_lift,break_even_bad_loss_to_good_profit
final_holdout,0.01,0.47104785323454834,392.2667743276861,61502,624,60878,0.010146011511820754,4965,56537,338,286,0.5416666666666666,0.07600446795229804,0.06807653575025176,0.005058634168774431,6.709684457871768,0.8461538461538461
final_holdout,0.03,0.3446418113652874,430.2628900269997,61502,1799,59703,0.029251081265649896,4965,56537,776,1023,0.4313507504168983,0.07016397835954642,0.15629405840886204,0.01809434529600085,5.343189094086622,1.318298969072165
final_holdout,0.05,0.2762157442718041,453.39180376043964,61502,3077,58425,0.050030893304282786,4965,56537,1188,1889,0.38609034774130646,0.06464698331193838,0.23927492447129908,0.03341174805879336,4.782543517983047,1.59006734006734
final_holdout,0.07,0.23432114709867607,469.3162078296537,61502,4289,57213,0.06973756950993464,4965,56537,1488,2801,0.34693401725343903,0.06077290126369881,0.29969788519637464,0.04954277729628385,4.297509754102922,1.8823924731182795
final_holdout,0.1,0.19159978464952473,487.75228358037833,61502,6185,55317,0.10056583525739,4965,56537,1901,4284,0.30735650767987066,0.05538984399009346,0.38288016112789525,0.07577338733926456,3.8072587986560738,2.253550762756444
final_holdout,0.12,0.1706412777881954,497.95507381024896,61502,7343,54159,0.11939449123605736,4965,56537,2125,5218,0.2893912569794362,0.052438191251684856,0.42799597180261834,0.09229354228204538,3.5847212662133505,2.4555294117647057
final_holdout,0.15,0.14573348292807567,511.4712880523599,61502,9250,52252,0.15040161295567625,4965,56537,2438,6812,0.26356756756756755,0.04836178519482508,0.4910372608257805,0.12048746838353644,3.2648403908440162,2.7940935192780967
final_holdout,0.2,0.11686200308818163,529.7952434587617,61502,12331,49171,0.20049754479529122,4965,56537,2885,9446,0.23396318222366394,0.04230135649061439,0.581067472306143,0.16707642782602544,2.898127619963702,3.2741767764298095
final_holdout,0.25,0.09552850331754612,546.0571888633244,61502,15384,46118,0.25013820688758087,4965,56537,3239,12145,0.21054342173686946,0.037425733986729694,0.6523665659617321,0.2148150768523268,2.608024476064642,3.749614078419265
final_holdout,0.3,0.07979358776350075,560.2842346923295,61502,18473,43029,0.3003642157978602,4965,56537,3535,14938,0.19136036377415688,0.03323340072974041,0.7119838872104733,0.26421635389214143,2.3704018313873507,4.225742574257426
validation,0.01,0.47104785323454834,392.2667743276861,61502,616,60886,0.010015934441156385,4965,56537,333,283,0.5405844155844156,0.07607660217455572,0.06706948640483383,0.005005571572598475,6.696278494918979,0.8498498498498499
validation,0.03,0.3446418113652874,430.2628900269997,61502,1846,59656,0.030015284055803063,4965,56537,816,1030,0.4420368364030336,0.06954874614456216,0.16435045317220545,0.01821815802041141,5.475558814191213,1.2622549019607843
validation,0.05,0.2762157442718041,453.39180376043964,61502,3076,58426,0.05001463367044974,4965,56537,1191,1885,0.38719115734720416,0.06459452983260877,0.23987915407854984,0.03334099793055875,4.796179367405387,1.582703610411419
validation,0.07,0.23432114709867607,469.3162078296537,61502,4306,57196,0.07001398328509642,4965,56537,1536,2770,0.35671156525777986,0.059951744877264145,0.3093655589123867,0.048994463802465645,4.418625314498283,1.8033854166666667
validation,0.1,0.19159978464952473,487.75228358037833,61502,6151,55351,0.10001300770706643,4965,56537,1948,4203,0.3166964721183547,0.05450669364600459,0.39234642497482375,0.07434069724251376,3.922953963388329,2.1575975359342916
validation,0.12,0.1706412777881954,497.95507381024896,61502,7381,54121,0.12001235732171311,4965,56537,2164,5217,0.2931852052567403,0.05175440217290885,0.4358509566968781,0.09227585474998673,3.6317173199798676,2.4108133086876156
validation,0.15,0.14573348292807567,511.4712880523599,61502,9226,52276,0.15001138174368314,4965,56537,2443,6783,0.26479514415781485,0.04824393603183105,0.4920443101711984,0.11997452995383553,3.280046516816501,2.7765042979942693
validation,0.2,0.11686200308818163,529.7952434587617,61502,12301,49201,0.20000975578029984,4965,56537,2867,9434,0.23307048207462808,0.04264140972744456,0.5774420946626385,0.16686417744132162,2.8870696452273465,3.290547610742937
validation,0.25,0.09552850331754612,546.0571888633244,61502,15376,46126,0.2500081298169165,4965,56537,3205,12171,0.2084417273673257,0.03815635433378138,0.6455186304128903,0.21527495268585176,2.5819905572095196,3.797503900156006
validation,0.3,0.07979358776350075,560.2842346923295,61502,18451,43051,0.3000065038535332,4965,56537,3492,14959,0.18925803479486206,0.034215233095630765,0.7033232628398791,0.26458779206537314,2.344360051551582,4.283791523482245
