cost_scenario,split,decline_pct_target_from_validation,manual_review_pct_target_from_validation,total_intervention_pct_target,pd_manual_cutoff_from_validation,pd_decline_cutoff_from_validation,score_manual_cutoff_from_validation,score_decline_cutoff_from_validation,rows,bad_count,good_count,direct_decline_rows,manual_review_rows,auto_approve_rows,actual_direct_decline_pct,actual_manual_review_pct,bad_direct_decline,good_direct_decline,bad_manual_review,good_manual_review,bad_auto_approve,good_auto_approve,direct_decline_bad_rate,manual_review_bad_rate,auto_approve_bad_rate,expected_bad_saved,expected_good_lost,expected_bad_saved_capture,expected_good_lost_capture,expected_final_reject_pct,expected_final_approve_bad_rate,manual_review_cost_total,incremental_value_vs_approve_all_units,incremental_value_per_10000_applications,bad_loss_cost,false_decline_good_cost,manual_review_cost,manual_bad_catch_rate,manual_good_false_decline_rate,max_direct_decline_pct,max_manual_review_pct,max_total_intervention_pct
high_bad_loss_strong_manual,validation,0.15,0.0,0.15,0.14573348292807567,0.14573348292807567,511.4712880523599,511.4712880523599,61502,4965,56537,9226,0,52276,0.15001138174368314,0.0,2443,6783,0,0,2522,49754,0.26479514415781485,0.0,0.04824393603183105,2443.0,6783.0,0.4920443101711984,0.11997452995383553,0.15001138174368314,0.04824393603183105,0.0,12761.0,2074.8918734350104,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.15,0.03,0.18,0.12680942304949777,0.14573348292807567,523.08532561682,511.4712880523599,61502,4965,56537,9226,1845,50431,0.15001138174368314,0.029999024421970017,2443,6783,246,1599,2276,48155,0.26479514415781485,0.13333333333333333,0.04513097102972378,2615.2,6910.92,0.5267270896273917,0.12223711905477828,0.15489122304965694,0.045209431759500755,184.5,13826.179999999998,2248.0862410978502,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.15,0.05,0.2,0.11686200308818163,0.14573348292807567,529.7952434587617,511.4712880523599,61502,4965,56537,9226,3075,49201,0.15001138174368314,0.049998374036616694,2443,6783,424,2651,2098,47103,0.26479514415781485,0.1378861788617886,0.04264140972744456,2739.8,6995.08,0.5518227593152065,0.12372570175283443,0.1582855842086436,0.04298481352642372,307.5,14615.820000000002,2376.4788136971156,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.15,0.07,0.22,0.10723882008329237,0.14573348292807567,536.7759474858359,511.4712880523599,61502,4965,56537,9226,4305,47971,0.15001138174368314,0.06999772365126337,2443,6783,577,3728,1945,46026,0.26479514415781485,0.13403019744483158,0.04054532946988806,2846.9,7081.24,0.5733937562940584,0.12524965951500786,0.1614279210432181,0.04106925485119787,430.5,15263.460000000001,2481.782706253455,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.15,0.1,0.25,0.09552850331754612,0.14573348292807567,546.0571888633244,511.4712880523599,61502,4965,56537,9226,6150,46126,0.15001138174368314,0.09999674807323339,2443,6783,762,5388,1760,44366,0.26479514415781485,0.12390243902439024,0.03815635433378138,2976.4,7214.04,0.5994763343403827,0.12759856377239684,0.1656928229976261,0.03875539936809561,615.0,15982.16,2598.6406946115576,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.15,0.15,0.3,0.07979358776350075,0.14573348292807567,560.2842346923295,511.4712880523599,61502,4965,56537,9226,9225,43051,0.15001138174368314,0.14999512210985008,2443,6783,1049,8176,1473,41578,0.26479514415781485,0.11371273712737127,0.034215233095630765,3177.3,7437.08,0.639939577039275,0.13154359092275855,0.17258593216480764,0.035130351940216506,922.5,17058.82,2773.7016682384315,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.2,0.0,0.2,0.11686200308818163,0.11686200308818163,529.7952434587617,529.7952434587617,61502,4965,56537,12301,0,49201,0.20000975578029984,0.0,2867,9434,0,0,2098,47103,0.23307048207462808,0.0,0.04264140972744456,2867.0,9434.0,0.5774420946626385,0.16686417744132162,0.20000975578029984,0.04264140972744456,0.0,13502.0,2195.3757601378816,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.2,0.03,0.23,0.10305142932415072,0.11686200308818163,539.9866328016353,529.7952434587617,61502,4965,56537,12301,1845,47356,0.20000975578029984,0.029999024421970017,2867,9434,225,1620,1873,45483,0.23307048207462808,0.12195121951219512,0.03955148238871526,3024.5,9563.6,0.6091641490433031,0.1691564815961229,0.20467789665376737,0.03967174974802663,184.5,14447.9,2349.1756365646647,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.2,0.05,0.25,0.09552850331754612,0.11686200308818163,546.0571888633244,529.7952434587617,61502,4965,56537,12301,3075,46126,0.20000975578029984,0.049998374036616694,2867,9434,338,2737,1760,44366,0.23307048207462808,0.10991869918699188,0.03815635433378138,3103.6,9652.96,0.6250956696878147,0.170737039460884,0.20741699456928228,0.0381861359749753,307.5,14868.34,2417.5376410523236,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.2,0.07,0.27,0.0888621893209779,0.11686200308818163,551.804979701695,529.7952434587617,61502,4965,56537,12301,4305,44896,0.20000975578029984,0.06999772365126337,2867,9434,451,3854,1647,43249,0.23307048207462808,0.10476190476190476,0.036684782608695655,3182.7,9742.32,0.6410271903323262,0.17231759732564514,0.21015609248479725,0.03669021828858031,430.5,15288.779999999999,2485.8996455399824,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
