candidate_feature,importance_gain,importance_split,original_feature,encoding,feature_group,auc_power,ks,iv,development_missing_rate,psi_development_validation,importance_gain_pct
credit_card_recent_6m_month_count,81.2944507598877,12,credit_card_recent_6m_month_count,numeric_original,internal_credit_card_history,0.5089787180245763,0.0207592960010295,0.0021590953662043,0.0,3.0842641401572365e-05,0.00014168077458641268
previous_revolving_credit_to_application_mean,80.88564920425415,7,previous_revolving_credit_to_application_mean,numeric_original,internal_previous_application,0.5051920554859877,0.0137755417617146,0.0247745858410296,0.8133404152687974,1.1020680588719682e-05,0.00014096831118315576
pos_def_dpd_month_count,73.6210994720459,9,pos_def_dpd_month_count,numeric_original,internal_pos_cash_history,0.5243307981393103,0.0498304033556056,0.0099427317768151,0.0,3.2755379430997224e-06,0.00012830758190262003
installment_recent_12m_late_count,71.52757978439331,7,installment_recent_12m_late_count,numeric_original,internal_repayment_history,0.5531239179883789,0.102403577552517,0.0476423864873531,0.0,0.0002031823248626,0.0001246589750397162
installment_recent_12m_shortfall_count,69.01221990585327,5,installment_recent_12m_shortfall_count,numeric_original,internal_repayment_history,0.5439683043115042,0.0880637593989867,0.0298301936720544,0.0,0.0001241445027413,0.00012027518091079415
bureau_balance_bad_month_count,64.9620008468628,7,bureau_balance_bad_month_count,numeric_original,external_credit_monthly_status,0.5127723981635411,0.0289182200550659,0.005759290280753,0.0,3.145195213371721e-06,0.00011321641898844207
bureau_balance_recent_24m_bad_month_count,64.52730083465576,9,bureau_balance_recent_24m_bad_month_count,numeric_original,external_credit_monthly_status,0.5141605528965238,0.031540800302334,0.0,0.0,0.0,0.00011245881949835972
previous_reject_reason_count,57.109960079193115,5,previous_reject_reason_count,numeric_original,internal_previous_application,0.5559977295731346,0.096435746401971,0.0479537566864997,0.0,1.5286825879184413e-05,9.953180450801e-05
bureau_balance_status_max,56.669960021972656,6,bureau_balance_status_max,numeric_original,external_credit_monthly_status,0.5390306322028455,0.0800242708074395,0.000618541224069,0.7062116884454248,3.647753092579763e-05,9.876496804694346e-05
catoh__NAME_FAMILY_STATUS__03_Civil_marriage,53.70039939880371,5,NAME_FAMILY_STATUS,category_one_hot_train_top_level,current_application,0.5119443746011719,0.0280335731722415,0.0,0.0,0.0,9.358958835818021e-05
previous_recent_6m_application_count,49.96033954620361,5,previous_recent_6m_application_count,numeric_original,internal_previous_application,0.5170907691085751,0.0331213015077905,0.0056933478704819,0.0,4.957891497996261e-05,8.707137497506714e-05
credit_card_recent_24m_dpd_max,47.07445955276489,4,credit_card_recent_24m_dpd_max,numeric_original,internal_credit_card_history,0.5116110686955592,0.0366960991260357,0.0011105114910177,0.7177397063526045,2.6406801130569633e-05,8.204183471725195e-05
credit_card_recent_6m_def_dpd_max,42.789650440216064,6,credit_card_recent_6m_def_dpd_max,numeric_original,internal_credit_card_history,0.505927035436499,0.024758456943759,0.0011105114910177,0.7177397063526045,2.6406801130569633e-05,7.457422692426862e-05
previous_cash_refused_count,40.017759799957275,3,previous_cash_refused_count,numeric_original,internal_previous_application,0.5445584219757074,0.0863680724072983,0.0219668538304904,0.0,1.6490727396411414e-05,6.974334844105399e-05
bureau_credit_type_count,38.563379764556885,5,bureau_credit_type_count,numeric_original,external_credit_history,0.5148674054070148,0.038448631652534,0.0009095312254581,0.0,7.60475772125776e-05,6.720864049933782e-05
credit_card_months_max,38.04529094696045,4,credit_card_months_max,numeric_original,internal_credit_card_history,0.519194546740931,0.0358198131423141,0.0023845476546191,0.7177397063526045,2.6418809330624898e-05,6.630571017266121e-05
catoh__FONDKAPREMONT_MODE__02_reg_oper_account,37.48905897140503,4,FONDKAPREMONT_MODE,category_one_hot_train_top_level,current_application,0.517763628191799,0.0364973748864745,0.0,0.0,0.0,6.533630357221329e-05
catfreq__HOUSETYPE_MODE,37.00470018386841,4,HOUSETYPE_MODE,category_frequency_train,current_application,0.5354228643417553,0.0727221535980899,0.0212012117294237,0.0,1.630384629024501e-05,6.449215827626174e-05
catoh__NAME_HOUSING_TYPE__02_With_parents,36.896400451660156,4,NAME_HOUSING_TYPE,category_one_hot_train_top_level,current_application,0.511663202883675,0.0248496370726649,0.0,0.0,0.0,6.430341242948696e-05
