split,strategy_action,candidate_feature,reason_label,applicant_count,avg_reason_rank,avg_shap_value,avg_pd,bad_rate,avg_feature_value,action_applicant_count,applicant_share_in_action
final_holdout,manual_review,previous_approved_credit_sum,历史申请与授信表现风险,12,3.9166666666666665,0.12466673478000324,0.1456129838347557,0.25,4071423.375,6146,0.0019524894240156199
final_holdout,manual_review,registration_age_years,年龄段相关风险,12,4.666666666666667,0.10400404155852407,0.14552361657866733,0.25,0.41683777739914757,6146,0.0019524894240156199
final_holdout,manual_review,bureau_sum_credit,外部征信历史风险信号,11,4.090909090909091,0.11106551169244958,0.1393399949516792,0.18181818181818182,20431.07599431818,6146,0.0017897819720143183
final_holdout,manual_review,bureau_consumer_credit_credit_sum,外部征信历史风险信号,10,3.8,0.13268164180782524,0.16362434102937545,0.3,10500262.9,6146,0.0016270745200130166
final_holdout,manual_review,previous_approved_days_decision_max,历史申请与授信表现风险,10,4.2,0.09003623906450073,0.1391229191400039,0.3,-24.4,6146,0.0016270745200130166
final_holdout,manual_review,AMT_INCOME_TOTAL,模型识别的申请资料风险信号,9,4.222222222222222,0.1159924594412743,0.1430022061635536,0.0,575000.0,6146,0.001464367068011715
final_holdout,manual_review,credit_card_drawing_count_sum,信用卡历史使用表现风险,9,4.333333333333333,0.10030914821686183,0.14261619014590854,0.1111111111111111,231.77777777777777,6146,0.001464367068011715
final_holdout,manual_review,previous_canceled_count,历史申请与授信表现风险,8,3.0,0.15709510250141753,0.16481715910315287,0.125,15.375,6146,0.0013016596160104132
final_holdout,manual_review,bureau_closed_credit_sum,外部征信历史风险信号,8,4.75,0.08165745624629743,0.14189606214147288,0.25,39676.736083984375,6146,0.0013016596160104132
final_holdout,manual_review,installment_recent_24m_shortfall_amount_sum,历史分期还款表现风险,6,4.833333333333333,0.10475383782036701,0.1373463141602512,0.0,337828.8671875,6146,0.0009762447120078099
final_holdout,manual_review,installment_recent_12m_late_ratio,近期还款延迟或逾期行为,6,4.166666666666667,0.10378302867478795,0.1431537231072488,0.16666666666666666,0.7083333333333334,6146,0.0009762447120078099
final_holdout,manual_review,bureau_consumer_credit_debt_to_credit_mean,征信负债相对授信额度偏高,6,4.666666666666667,0.09367158558423533,0.14566853250612358,0.16666666666666666,0.9749969740708669,6146,0.0009762447120078099
final_holdout,manual_review,credit_card_recent_6m_month_count,信用卡历史使用表现风险,5,2.8,0.21083505069333902,0.1737647128337151,0.4,11.2,6146,0.0008135372600065083
final_holdout,manual_review,installment_recent_24m_total_payment_ratio,历史分期还款表现风险,5,4.8,0.11224446609294694,0.15346934979851706,0.2,0.5797797083854676,6146,0.0008135372600065083
final_holdout,manual_review,pos_months_min,POS/现金贷历史表现风险,5,4.6,0.10535137529698932,0.14966353915814357,0.2,-6.6,6146,0.0008135372600065083
final_holdout,manual_review,installment_first_due_day,历史分期还款表现风险,5,4.2,0.09828382863780463,0.15226697128526984,0.0,-120.0,6146,0.0008135372600065083
final_holdout,manual_review,previous_recent_24m_refusal_rate,历史申请被拒记录较多,5,4.6,0.09089374225575798,0.1393610502695366,0.0,0.7862626373767853,6146,0.0008135372600065083
final_holdout,manual_review,installment_recent_6m_late_count,近期还款延迟或逾期行为,5,4.8,0.08966540612242672,0.14185342430255585,0.0,9.6,6146,0.0008135372600065083
