amount_cost_scenario,split,decline_pct_target_from_validation,manual_review_pct_target_from_validation,total_intervention_pct_target,pd_manual_cutoff_from_validation,pd_decline_cutoff_from_validation,score_manual_cutoff_from_validation,score_decline_cutoff_from_validation,rows,direct_decline_rows,manual_review_rows,auto_approve_rows,actual_direct_decline_pct,actual_manual_review_pct,total_credit_exposure,total_bad_credit_exposure,total_good_credit_exposure,direct_decline_credit_exposure,manual_review_credit_exposure,auto_approve_credit_exposure,bad_direct_decline_credit_exposure,good_direct_decline_credit_exposure,bad_manual_review_credit_exposure,good_manual_review_credit_exposure,bad_auto_approve_credit_exposure,good_auto_approve_credit_exposure,direct_decline_credit_share,manual_review_credit_share,direct_decline_exposure_bad_rate,manual_review_exposure_bad_rate,auto_approve_exposure_bad_rate,expected_bad_exposure_saved,expected_good_exposure_lost,expected_bad_exposure_saved_capture,expected_good_exposure_lost_capture,expected_final_reject_exposure_share,expected_final_approve_exposure_bad_rate,expected_loss_saved_amount,expected_margin_lost_amount,manual_review_cost_amount,incremental_profit_proxy_amount,incremental_profit_proxy_per_10000_applications,incremental_profit_proxy_per_100m_credit,lgd_rate,net_margin_rate,manual_review_cost_rate_of_median_credit,manual_review_unit_cost,manual_bad_catch_rate,manual_good_false_decline_rate,max_direct_decline_pct,max_manual_review_pct,max_total_intervention_pct
amount_balanced_base,development,0.07,0.05,0.12000000000000001,0.1706412777881954,0.23432114709867607,497.95507381024896,469.3162078296537,184507,13931,8649,161927,0.07550391042074285,0.04687627027700846,110525324116.5,8329757778.0,102195566338.5,7303728622.5,4671339183.0,98550256311.0,4304662915.5,2999065707.0,1149266290.5,3522072892.5,2875828572.0,95674427739.0,0.06608194710925663,0.04226487658227667,0.5893788143002707,0.2460250145573726,0.029181340360238162,4994222689.8,3210390080.55,0.5995639756765085,0.03141418160858662,0.07423287681746013,0.032598826223128145,2497111344.9,256831206.444,4418371.9215,2235861766.5345,121180321.96797413,2022940.70106302,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.07,0.07,0.14,0.15311868176477064,0.23432114709867607,507.2790697689951,469.3162078296537,184507,13931,12191,158385,0.07550391042074285,0.06607337390993295,110525324116.5,8329757778.0,102195566338.5,7303728622.5,6581277076.5,96640318417.5,4304662915.5,2999065707.0,1497770005.5,5083507071.0,2527324857.0,94112993560.5,0.06608194710925663,0.059545422093157205,0.5893788143002707,0.22758045104165886,0.02615186806485462,5203324918.8,3304076131.26,0.6246670140328299,0.03233091463396744,0.07697241440425648,0.03064591755278026,2601662459.4,264326090.5008,6227815.0185,2331108553.8807,126342553.6093861,2109117.1390038887,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.07,0.1,0.17,0.13268463410307968,0.23432114709867607,519.3313634654797,469.3162078296537,184507,13931,17378,153198,0.07550391042074285,0.0941861284395714,110525324116.5,8329757778.0,102195566338.5,7303728622.5,9370707282.0,93850888212.0,4304662915.5,2999065707.0,1897686967.5,7473020314.5,2127407895.0,91723480317.0,0.06608194710925663,0.08478335039418423,0.5893788143002707,0.20251267171104875,0.022667956963757157,5443275096.0,3447446925.87,0.6534733951539882,0.033733820843568706,0.08044058764757543,0.028400590178062114,2721637548.0,275795754.0696,8877612.123,2436964181.8073997,132079768.3452335,2204892.1378766554,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.1,0.0,0.1,0.19159978464952473,0.19159978464952473,487.75228358037833,487.75228358037833,184507,19093,0,165414,0.10348116873614552,0.0,110525324116.5,8329757778.0,102195566338.5,10092240513.0,0.0,100433083603.5,5034932968.5,5057307544.5,0.0,0.0,3294824809.5,97138258794.0,0.09131156677145051,0.0,0.4988914960968687,0.0,0.032806169952001536,5034932968.5,5057307544.5,0.6044513061109567,0.049486565080023116,0.09131156677145051,0.032806169952001536,2517466484.25,404584603.56,0.0,2112881880.69,114514998.38434315,1911672.1869667643,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.1,0.03,0.13,0.16174800345772372,0.19159978464952473,502.5854007483094,487.75228358037833,184507,19093,5191,160223,0.10348116873614552,0.028134433923916166,110525324116.5,8329757778.0,102195566338.5,10092240513.0,2778762910.5,97654320693.0,5034932968.5,5057307544.5,582827107.5,2195935803.0,2711997702.0,94942322991.0,0.09131156677145051,0.025141413813643515,0.4988914960968687,0.20974337367815532,0.027771405123238953,5384629233.0,5189063692.68,0.6464328707398339,0.05077582011231666,0.0956676038745177,0.02946553757964576,2692314616.5,415125095.41440004,2651840.5185,2274537680.5671,123276497.94138433,2057933.5086768055,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.1,0.05,0.15000000000000002,0.14573348292807567,0.19159978464952473,511.4712880523599,487.75228358037833,184507,19093,8717,156697,0.10348116873614552,0.04724481997972976,110525324116.5,8329757778.0,102195566338.5,10092240513.0,4703605501.5,95729478102.0,5034932968.5,5057307544.5,905854257.0,3797751244.5,2388970552.5,93340507549.5,0.09131156677145051,0.04255681255946494,0.4988914960968687,0.19258720926130374,0.024955432745121058,5578445522.7,5285172619.17,0.6697008089999229,0.05171626136562564,0.09829076031859565,0.027606513739593996,2789222761.35,422813809.53360003,4453109.9595,2361955841.8569,128014429.90547243,2137026.8404436107,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.1,0.07,0.17,0.13268463410307968,0.19159978464952473,519.3313634654797,487.75228358037833,184507,19093,12216,153198,0.10348116873614552,0.06620887012416873,110525324116.5,8329757778.0,102195566338.5,10092240513.0,6582195391.5,93850888212.0,5034932968.5,5057307544.5,1167416914.5,5414778477.0,2127407895.0,91723480317.0,0.09131156677145051,0.05955373073199035,0.4988914960968687,0.17735980855377803,0.022667956963757157,5735383117.2,5382194253.12,0.6885414042108056,0.052665633607750485,0.10058850728726604,0.026098314726157854,2867691558.6,430575540.2496,6240586.356,2430875431.9944,131749767.3255974,2199383.2195706735,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.1,0.1,0.2,0.11686200308818163,0.19159978464952473,529.7952434587617,487.75228358037833,184507,19093,17348,148066,0.10348116873614552,0.09402353298248847,110525324116.5,8329757778.0,102195566338.5,10092240513.0,9407574036.0,91025509567.5,5034932968.5,5057307544.5,1499930730.0,7907643306.0,1794894079.5,89230615488.0,0.09131156677145051,0.08511690973268606,0.4988914960968687,0.15943863149630386,0.019718583153538905,5934891406.5,5531766142.86,0.7124926756183522,0.054129218527321034,0.1037468801020976,0.024176242771012945,2967445703.25,442541291.4288,8862286.518,2516042125.3032,136365673.13452604,2276439.490601401,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.12,0.0,0.12,0.1706412777881954,0.1706412777881954,497.95507381024896,497.95507381024896,184507,22580,0,161927,0.1223801806977513,0.0,110525324116.5,8329757778.0,102195566338.5,11975067805.5,0.0,98550256311.0,5453929206.0,6521138599.5,0.0,0.0,2875828572.0,95674427739.0,0.10834682369153331,0.0,0.45544036113892217,0.0,0.029181340360238162,5453929206.0,6521138599.5,0.654752437148239,0.06381038662577772,0.10834682369153331,0.029181340360238162,2726964603.0,521691087.96000004,0.0,2205273515.04,119522485.0569355,1995265.3680667027,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.12,0.03,0.15,0.14573348292807567,0.1706412777881954,511.4712880523599,497.95507381024896,184507,22580,5230,156697,0.1223801806977513,0.028345808018123975,110525324116.5,8329757778.0,102195566338.5,11975067805.5,2820778209.0,95729478102.0,5453929206.0,6521138599.5,486858019.5,2333920189.5,2388970552.5,93340507549.5,0.10834682369153331,0.025521555639382146,0.45544036113892217,0.17259705777172643,0.024955432745121058,5746044017.7,6661173810.87,0.6898212614148358,0.06518065361863497,0.11225678755297823,0.026332690856446295,2873022008.85,532893904.8696,2671763.805,2337456340.1754003,126686594.01406994,2114860.425753276,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
